video_file,start_frame,end_frame,start_time,end_time,duration_sec
3_2020-11-28_13-01-02.mp4,48433,48568,14:47:59.36,14:48:03.86,4.5
3_2020-11-28_13-01-02.mp4,48568,48631,14:48:03.86,14:48:05.96,2.1
3_2020-11-28_13-01-02.mp4,48433,48564,14:47:59.36,14:48:03.72,4.366
3_2020-11-28_13-01-02.mp4,64476,64624,14:56:54.10,14:56:59.03,4.933
3_2020-11-28_13-01-02.mp4,64624,64723,14:56:59.03,14:57:02.33,3.3
3_2020-11-28_13-01-02.mp4,64627,64758,14:56:59.13,14:57:03.50,4.366
3_2020-11-28_13-01-02.mp4,65089,65238,14:57:14.53,14:57:19.50,4.966
3_2020-11-28_13-01-02.mp4,65238,65327,14:57:19.50,14:57:22.46,2.967
3_2020-11-28_13-01-02.mp4,73281,73469,15:01:47.58,15:01:53.85,6.266
3_2020-11-28_13-01-02.mp4,73469,73569,15:01:53.85,15:01:57.18,3.333
3_2020-11-28_13-01-02.mp4,73468,73570,15:01:53.82,15:01:57.22,3.4
3_2020-11-28_13-01-02.mp4,80763,80918,15:05:56.97,15:06:02.14,5.166
3_2020-11-28_13-01-02.mp4,80918,81032,15:06:02.14,15:06:05.94,3.8
3_2020-11-28_13-01-02.mp4,81016,81170,15:06:05.41,15:06:10.54,5.133
3_2020-11-28_13-01-02.mp4,81170,81220,15:06:10.54,15:06:12.21,1.667
3_2020-11-28_13-01-02.mp4,81480,81684,15:06:20.87,15:06:27.67,6.8
3_2020-11-28_13-01-02.mp4,81684,81768,15:06:27.67,15:06:30.47,2.8
3_2020-11-28_13-01-02.mp4,90700,90951,15:11:28.19,15:11:36.56,8.366
3_2020-11-28_13-01-02.mp4,90951,91060,15:11:36.56,15:11:40.19,3.633
3_2020-11-28_13-01-02.mp4,109697,109812,15:22:01.40,15:22:05.23,3.833
3_2020-11-28_13-01-02.mp4,109812,109888,15:22:05.23,15:22:07.76,2.533
3_2020-11-28_13-01-02.mp4,126180,126416,15:31:10.81,15:31:18.67,7.866
3_2020-11-28_13-01-02.mp4,126416,126479,15:31:18.67,15:31:20.77,2.1
3_2020-11-28_13-01-02.mp4,126278,126471,15:31:14.07,15:31:20.50,6.433
3_2020-11-28_13-01-02.mp4,126471,126537,15:31:20.50,15:31:22.70,2.2
